cig,cig_accordo_quadro,n_lotti_componenti,oggetto_gara,oggetto_lotto,importo_lotto,importo_complessivo_gara,provincia,luogo_istat,data_pubblicazione,tipo_scelta_contraente,cf_amministrazione_appaltante,denominazione_amministrazione_appaltante,denominazione_centro_costo,cod_cpv,descrizione_cpv,DURATA_PREVISTA,ESITO,confidenza
6365806D48,,15,AFFIDAMENTO NEL TERRITORIO DELLA PROVINCIA DI TORINO DEL SERVIZIO DI ACCOGLIENZA ED ASSISTENZA DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE DALLA DTA PRESUNTA DEL 01.10.2015 FINO ALLA DATA PRESUNTA DEL 31.12.2015,SERVIZIO DI ACCOGLIENZA ED ASSISTENZA DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE DALLA DATA PRESUNTA DEL 01.10.2015 FINO ALLA DATA PRESUNTA DEL 31.12.2015 NEL TERRITORIO DI TORRE PELLICE E DINTORNI,315000.0,4725000.0,TORINO,001275,2015-08-11,PROCEDURA APERTA,80089610010,PREFETTURA-UFFICIO TERRITORIALE DEL GOVERNO DI TORINO,SERVIZIO 1,75240000-0,SERVIZI DI PUBBLICA SICUREZZA E DI ORDINE PUBBLICO,,AGGIUDICATA,certa
6360841C09,,1,SERVIZIO DI ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE,SERVIZIO DI ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE,100620.0,100620.0,,,2015-08-24,AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,93014250034,PREFETTURA DEL VERBANO - CUSIO - OSSOLA -,SERVIZIO CONTRATTI,55130000-0,ALTRI SERVIZI ALBERGHIERI,,,certa
63658143E5,,15,AFFIDAMENTO NEL TERRITORIO DELLA PROVINCIA DI TORINO DEL SERVIZIO DI ACCOGLIENZA ED ASSISTENZA DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE DALLA DTA PRESUNTA DEL 01.10.2015 FINO ALLA DATA PRESUNTA DEL 31.12.2015,SERVIZIO DI ACCOGLIENZA ED ASSISTENZA DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE DALLA DATA PRESUNTA DEL 01.10.2015 FINO ALLA DATA PRESUNTA DEL 31.12.2015 NEL TERRITORIO DI CHERI E DINTORNI,315000.0,4725000.0,TORINO,001078,2015-08-11,PROCEDURA APERTA,80089610010,PREFETTURA-UFFICIO TERRITORIALE DEL GOVERNO DI TORINO,SERVIZIO 1,75240000-0,SERVIZI DI PUBBLICA SICUREZZA E DI ORDINE PUBBLICO,,AGGIUDICATA,certa
6365807E1B,,15,AFFIDAMENTO NEL TERRITORIO DELLA PROVINCIA DI TORINO DEL SERVIZIO DI ACCOGLIENZA ED ASSISTENZA DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE DALLA DTA PRESUNTA DEL 01.10.2015 FINO ALLA DATA PRESUNTA DEL 31.12.2015,SERVIZIO DI ACCOGLIENZA ED ASSISTENZA DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE DALLA DATA PRESUNTA DEL 01.10.2015 FINO ALLA DATA PRESUNTA DEL 31.12.2015 NEL TERRITORIO DI RIVOLI E DINTORNI,315000.0,4725000.0,TORINO,001219,2015-08-11,PROCEDURA APERTA,80089610010,PREFETTURA-UFFICIO TERRITORIALE DEL GOVERNO DI TORINO,SERVIZIO 1,75240000-0,SERVIZI DI PUBBLICA SICUREZZA E DI ORDINE PUBBLICO,,AGGIUDICATA,certa
6351772013,,12,SPRAR ORDINARI II SEMESTRE 2015 ,SPRAR ORDINARI II SEM 2015 SABA MEDIAZIONE CULTURALE,22115.38,816334.12,,010025,2015-08-19,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,00856930102,COMUNE DI GENOVA,SETTORE POLITICHE SOCIALI,85320000-8,SERVIZI SOCIALI,,,certa
635707476A,,1,SERVIZI DI ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE ,SERVIZI DI ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE ,60450.0,60450.0,,,2015-08-04,AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,80006550299,PREFETTURA DI ROVIGO,SERVIZI GENERALI E ATTIVITA CONTRATTUALE,55130000-0,ALTRI SERVIZI ALBERGHIERI,,,certa
6369434F33,,1,CONVENZIONE PER L'ACCOGLIENZA N. 100 RICHIEDENTI ASILO IN CENTRO TEMPORANEO 'SAN NICOLA' DISCENDENTE DA ACCORDO QUADRO 1/5-31/12/2015 LOTTO 4 ZONA ROMA E,CONVENZIONE PER L'ACCOGLIENZA N. 100 RICHIEDENTI ASILO IN CENTRO TEMPORANEO 'SAN NICOLA' DISCENDENTE DA ACCORDO QUADRO 1/5-31/12/2015 LOTTO 4 ZONA ROMA E,577920.0,577920.0,,058091,2015-08-14,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80197350582,PREFETTURA DI ROMA,PREFETTURA DI ROMA SERVIZI ISTITUZIONALI E GENERALI DELLE AMMINISTRAZIONI PUBBLICHE - AMMINISTRAZIONE GENERALE E SUPPORTO ALLA RAPPRESENTANZA GENERALE DI GOVERNO E DELLO STATO,55110000-4,SERVIZI DI SISTEMAZIONE ALBERGHIERA,,,certa
6364689384,62891155E0,8,SERVIZIO ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE NELLA PROVINCIA DELL'AQUILA. PERIODO 1 AGOSTO - 31 DICEMBRE 2015,SERVIZIO ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE NELLLA PROVINCIA DELL'AQUILA. PERIODO 1^ AGOSTO - 31 DICEMBRE 2015,183040.0,980415.0,,,2015-08-10,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80003810662,UFFICIO TERRITORIALE DEL GOVERNO,PREFETTURA U.T.G. L'AQUILA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,,certa
63646768C8,62891155E0,8,SERVIZIO ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE NELLA PROVINCIA DELL'AQUILA. PERIODO 1 AGOSTO - 31 DICEMBRE 2015,SERVIZIO ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE NELLLA PROVINCIA DELL'AQUILA. PERIODO 1^ AGOSTO - 31 DICEMBRE 2015,45760.0,980415.0,,,2015-08-10,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80003810662,UFFICIO TERRITORIALE DEL GOVERNO,PREFETTURA U.T.G. L'AQUILA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,,certa
6386834625,,1,POSTI AGGIUNTIVI 2015 - AMPLIAMENTO RETE DEL SISTEMA DI PROTEZIONE PER RICHIEDENTI ASILO E RIFUGIATI - SPRAR 2015,POSTI AGGIUNTIVI 2015 - AMPLIAMENTO RETE DEL SISTEMA DI PROTEZIONE PER RICHIEDENTI ASILO E RIFUGIATI - SPRAR 2015,171360.0,171360.0,FERRARA,038008,2015-08-19,AFFIDAMENTO DIRETTO,00297110389,COMUNE DI FERRARA,SERVIZIO SALUTE E POLITICHE SOCIO-SANITARIE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,certa
